ticker,caller,timestamp,Open,high,close,low,supply,market_cap,volume
ETH-USD,backtest_v2,2026-01-19 13:00:00+00:00,3223.1,3223.18,3215.98,3211.03,122373866.2178,393551906279.1205,2027.83913781
ETH-USD,backtest_v2,2026-01-19 14:00:00+00:00,3216.05,3217.44,3211.18,3201.24,122373866.2178,392964511721.275,3491.99651304
ETH-USD,backtest_v2,2026-01-19 15:00:00+00:00,3211.3,3218.73,3214.47,3208.0,122373866.2178,393367121741.1316,2373.97171566
ETH-USD,backtest_v2,2026-01-19 16:00:00+00:00,3214.4,3226.59,3221.68,3210.92,122373866.2178,394249437316.5619,2287.79356177
ETH-USD,backtest_v2,2026-01-19 17:00:00+00:00,3221.51,3224.55,3218.4,3214.91,122373866.2178,393848051035.36755,1987.77147838
ETH-USD,backtest_v2,2026-01-19 18:00:00+00:00,3218.34,3219.59,3212.97,3206.33,122373866.2178,393183560941.8049,3234.19401271
ETH-USD,backtest_v2,2026-01-19 19:00:00+00:00,3212.96,3223.18,3218.32,3212.93,122373866.2178,393838261126.0701,2006.02884281
ETH-USD,backtest_v2,2026-01-19 20:00:00+00:00,3218.33,3224.0,3212.43,3210.63,122373866.2178,393117479054.04724,3171.61512856
ETH-USD,backtest_v2,2026-01-19 21:00:00+00:00,3212.66,3219.87,3211.03,3208.29,122373866.2178,392946155641.3424,1683.76938884
ETH-USD,backtest_v2,2026-01-19 22:00:00+00:00,3211.02,3213.09,3186.51,3183.68,122373866.2178,389945548441.68195,3870.97457518
ETH-USD,backtest_v2,2026-01-19 23:00:00+00:00,3186.5,3195.97,3187.51,3162.86,122373866.2178,390067922307.8997,5897.71129846
ETH-USD,backtest_v2,2026-01-20 00:00:00+00:00,3187.17,3198.16,3181.73,3174.01,122373866.2178,389360601361.1608,3273.24736474
ETH-USD,backtest_v2,2026-01-20 01:00:00+00:00,3181.73,3196.85,3190.74,3173.22,122373866.2178,390463189895.78314,2395.15127413
ETH-USD,backtest_v2,2026-01-20 02:00:00+00:00,3190.9,3197.7,3190.14,3176.63,122373866.2178,390389765576.0525,3591.40259551
ETH-USD,backtest_v2,2026-01-20 03:00:00+00:00,3190.14,3192.79,3186.13,3181.04,122373866.2178,389899046372.51917,2088.75782887
ETH-USD,backtest_v2,2026-01-20 04:00:00+00:00,3186.13,3186.8,3170.18,3166.32,122373866.2178,387947183206.3452,3847.78882236
ETH-USD,backtest_v2,2026-01-20 05:00:00+00:00,3170.18,3172.03,3168.42,3148.88,122373866.2178,387731805201.8019,5384.61665987
ETH-USD,backtest_v2,2026-01-20 06:00:00+00:00,3168.42,3169.61,3113.0,3105.89,122373866.2178,380949845536.0114,6178.11014084
ETH-USD,backtest_v2,2026-01-20 07:00:00+00:00,3113.21,3127.95,3119.95,3108.59,122373866.2178,381800343906.2251,3094.13796565
ETH-USD,backtest_v2,2026-01-20 08:00:00+00:00,3119.66,3120.53,3103.1,3081.19,122373866.2178,379738344260.4552,4614.05872921
ETH-USD,backtest_v2,2026-01-20 09:00:00+00:00,3102.91,3104.76,3090.78,3085.01,122373866.2178,378230698228.6519,2161.15611518
ETH-USD,backtest_v2,2026-01-20 10:00:00+00:00,3090.71,3105.65,3099.65,3087.62,122373866.2178,379316154422.0038,989.57954711
ETH-USD,backtest_v2,2026-01-20 11:00:00+00:00,3099.71,3110.0,3106.56,3099.71,122373866.2178,380161757837.5688,1293.3221876
ETH-USD,backtest_v2,2026-01-20 12:00:00+00:00,3106.65,3111.95,3108.49,3099.46,122373866.2178,380397939399.36914,1309.69729066
ETH-USD,backtest_v2,2026-01-20 13:00:00+00:00,3108.49,3110.55,3076.07,3070.98,122373866.2178,376430578656.5881,4555.87751584
ETH-USD,backtest_v2,2026-01-20 14:00:00+00:00,3076.14,3086.3,3043.8,3031.26,122373866.2178,372481573993.7397,11912.67232869
