ticker,caller,low,high,Open,close,volume,timestamp,supply,eth_daily_tx,market_cap,btc_open,btc_high,btc_low,btc_close,btc_volume
ETH-USD,main,3008.34,3021.9,3010.54,3019.77,1972.47426043,2026-01-22 04:00:00+00:00,122373866.2178,2372922.0,369540929988.52594,89801.93,90000.0,89725.11,89905.96,215.8295157
ETH-USD,main,3011.55,3024.83,3019.77,3017.02,964.1518631,2026-01-22 05:00:00+00:00,122373866.2178,2372922.0,369204401856.427,89905.96,89989.73,89826.0,89933.38,114.23991334
ETH-USD,main,3006.13,3024.58,3016.93,3016.18,2401.32246729,2026-01-22 06:00:00+00:00,122373866.2178,2372922.0,369101607808.804,89933.38,90129.4,89802.03,90080.34,134.72705547
ETH-USD,main,2997.19,3019.68,3016.2,2997.9,2793.78032153,2026-01-22 07:00:00+00:00,122373866.2178,2372922.0,366864613534.34265,90080.34,90109.92,89698.08,89728.3,133.88991833
ETH-USD,main,2989.0,3005.49,2997.89,3002.6,4380.14773364,2026-01-22 08:00:00+00:00,122373866.2178,2372922.0,367439770705.5663,89728.3,89881.94,89663.21,89830.43,121.32613597
ETH-USD,main,2999.9,3013.59,3002.58,3010.68,3494.86916386,2026-01-22 09:00:00+00:00,122373866.2178,2372922.0,368428551544.6061,89830.43,90046.6,89796.66,89949.99,253.91734769
ETH-USD,main,2997.0,3011.84,3010.68,2999.83,3678.3965072,2026-01-22 10:00:00+00:00,122373866.2178,2372922.0,367100795096.143,89949.99,90024.65,89861.32,89989.83,195.15068223
ETH-USD,main,2975.02,3003.9,2999.82,2983.31,7904.4865068,2026-01-22 11:00:00+00:00,122373866.2178,2372922.0,365079178826.2249,89989.82,90062.0,89795.08,89837.84,214.38417165
ETH-USD,main,2975.17,2995.28,2983.5,2987.95,3481.90377328,2026-01-22 12:00:00+00:00,122373866.2178,2372922.0,365646993565.4755,89837.84,90003.01,89768.71,89920.14,231.94516289
ETH-USD,main,2959.11,3007.7,2987.96,2970.3,3702.21069126,2026-01-22 13:00:00+00:00,122373866.2178,2372922.0,363487094826.7314,89920.14,90250.0,89383.86,89512.31,299.25839355
ETH-USD,main,2931.84,2979.64,2969.92,2937.71,7711.6192672,2026-01-22 14:00:00+00:00,122373866.2178,2372922.0,359498930526.69324,89509.94,89645.24,88950.75,88991.92,765.67646081
ETH-USD,main,2902.91,2965.84,2937.88,2939.3,9151.65645382,2026-01-22 15:00:00+00:00,122373866.2178,2372922.0,359693504973.97955,88985.54,89361.3,88408.65,88907.99,787.2047405
